Sample_Index,Time_Relative_Trigger_s,Voltage_V
0,0.00000000e+00,-225.916667
1,1.00000000e+00,-225.916667
2,2.00000000e+00,-225.250000
3,3.00000000e+00,-225.250000
4,4.00000000e+00,-224.625000
5,5.00000000e+00,-224.625000
6,6.00000000e+00,-224.000000
7,7.00000000e+00,-224.000000
8,8.00000000e+00,-223.291667
9,9.00000000e+00,-223.291667
10,1.00000000e+01,-222.541667
11,1.10000000e+01,-222.541667
12,1.20000000e+01,-221.500000
13,1.30000000e+01,-221.500000
14,1.40000000e+01,-220.708333
15,1.50000000e+01,-220.708333
16,1.60000000e+01,-219.833333
17,1.70000000e+01,-219.833333
18,1.80000000e+01,-219.125000
19,1.90000000e+01,-219.125000
20,2.00000000e+01,-218.166667
21,2.10000000e+01,-218.166667
22,2.20000000e+01,-217.250000
23,2.30000000e+01,-217.250000
24,2.40000000e+01,-216.208333
25,2.50000000e+01,-216.208333
26,2.60000000e+01,-215.166667
27,2.70000000e+01,-215.166667
28,2.80000000e+01,-214.250000
29,2.90000000e+01,-214.250000
30,3.00000000e+01,-213.291667
31,3.10000000e+01,-213.291667
32,3.20000000e+01,-212.208333
33,3.30000000e+01,-212.208333
34,3.40000000e+01,-211.208333
35,3.50000000e+01,-211.208333
36,3.60000000e+01,-210.208333
37,3.70000000e+01,-210.208333
38,3.80000000e+01,-208.833333
39,3.90000000e+01,-208.833333
40,4.00000000e+01,-208.000000
41,4.10000000e+01,-208.000000
42,4.20000000e+01,-206.750000
43,4.30000000e+01,-206.750000
44,4.40000000e+01,-205.750000
45,4.50000000e+01,-205.750000
46,4.60000000e+01,-204.750000
47,4.70000000e+01,-204.750000
48,4.80000000e+01,-203.500000
49,4.90000000e+01,-203.500000
50,5.00000000e+01,-202.291667
51,5.10000000e+01,-202.291667
52,5.20000000e+01,-201.458333
53,5.30000000e+01,-201.458333
54,5.40000000e+01,-200.208333
55,5.50000000e+01,-200.208333
56,5.60000000e+01,-199.166667
57,5.70000000e+01,-199.166667
58,5.80000000e+01,-197.833333
59,5.90000000e+01,-197.833333
60,6.00000000e+01,-196.791667
61,6.10000000e+01,-196.791667
62,6.20000000e+01,-195.625000
63,6.30000000e+01,-195.625000
64,6.40000000e+01,-194.666667
65,6.50000000e+01,-194.666667
66,6.60000000e+01,-193.541667
67,6.70000000e+01,-193.541667
68,6.80000000e+01,-192.666667
69,6.90000000e+01,-192.666667
70,7.00000000e+01,-191.458333
71,7.10000000e+01,-191.458333
72,7.20000000e+01,-190.166667
73,7.30000000e+01,-190.166667
74,7.40000000e+01,-189.333333
75,7.50000000e+01,-189.333333
76,7.60000000e+01,-188.250000
77,7.70000000e+01,-188.250000
78,7.80000000e+01,-187.250000
79,7.90000000e+01,-187.250000
80,8.00000000e+01,-186.250000
81,8.10000000e+01,-186.250000
82,8.20000000e+01,-185.250000
83,8.30000000e+01,-185.250000
84,8.40000000e+01,-184.125000
85,8.50000000e+01,-184.125000
86,8.60000000e+01,-183.125000
87,8.70000000e+01,-183.125000
88,8.80000000e+01,-182.208333
89,8.90000000e+01,-182.208333
90,9.00000000e+01,-180.958333
91,9.10000000e+01,-180.958333
92,9.20000000e+01,-180.208333
93,9.30000000e+01,-180.208333
94,9.40000000e+01,-179.125000
95,9.50000000e+01,-179.125000
96,9.60000000e+01,-178.041667
97,9.70000000e+01,-178.041667
98,9.80000000e+01,-177.125000
